jurisdiction,effective_date,wage,note
Alberta,1965-01-01,1.00,"Urban centres over 5,000 population. (Existing rate as of January 1, 1965.)"
Alberta,1966-07-01,1.00,Applicable in all regions of the province.
Alberta,1967-08-01,1.15,
Alberta,1968-01-01,1.25,
Alberta,1970-04-01,1.40,
Alberta,1970-10-01,1.55,
Alberta,1973-01-01,1.75,
Alberta,1973-10-01,1.90,
Alberta,1974-04-01,2.00,
Alberta,1975-01-01,2.25,
Alberta,1975-07-01,2.50,
Alberta,1976-03-01,2.75,
Alberta,1977-03-01,3.00,
Alberta,1980-05-01,3.50,
Alberta,1981-05-01,3.80,
Alberta,1988-09-01,4.50,
Alberta,1992-04-01,5.00,
Alberta,1998-10-01,5.40,
Alberta,1999-04-01,5.65,
Alberta,1999-10-01,5.90,
Alberta,2005-09-01,7.00,
Alberta,2007-09-01,8.00,
Alberta,2008-04-01,8.40,
Alberta,2009-04-01,8.80,
Alberta,2011-09-01,9.40,
Alberta,2012-09-01,9.75,
Alberta,2013-09-01,9.95,
Alberta,2014-09-01,10.20,
Alberta,2015-10-01,11.20,
Alberta,2016-10-01,12.20,
Alberta,2017-10-01,13.60,
Alberta,2018-10-01,15.00,
Alberta,2019-06-26,15.00,
British Columbia,1965-01-01,1.00,"Existing rate as of January 1, 1965."
British Columbia,1967-05-01,1.10,
British Columbia,1967-11-01,1.25,
British Columbia,1970-05-04,1.50,
British Columbia,1972-12-04,2.00,
British Columbia,1973-12-03,2.25,
British Columbia,1974-06-03,2.50,
British Columbia,1975-12-01,2.75,
British Columbia,1976-01-01,3.00,
British Columbia,1980-07-01,3.40,
British Columbia,1980-12-01,3.65,
British Columbia,1988-07-01,4.50,
British Columbia,1989-10-01,4.75,
British Columbia,1990-04-01,5.00,
British Columbia,1992-02-01,5.50,
British Columbia,1993-04-01,6.00,
British Columbia,1995-03-01,6.50,
British Columbia,1995-10-01,7.00,
British Columbia,1998-04-01,7.15,
British Columbia,2000-11-01,7.60,
British Columbia,2001-11-01,8.00,
British Columbia,2011-05-01,8.75,
British Columbia,2011-11-01,9.50,
British Columbia,2012-05-01,10.25,
British Columbia,2015-09-15,10.45,
British Columbia,2016-09-15,10.85,
British Columbia,2017-09-15,11.35,
British Columbia,2018-06-01,12.65,
British Columbia,2019-06-01,13.85,
British Columbia,2020-06-01,14.60,
British Columbia,2021-06-01,15.20,
British Columbia,2022-06-01,15.65,
British Columbia,2023-06-01,16.75,
British Columbia,2024-06-01,17.40,
British Columbia,2026-06-01,18.25,
Federal,1965-07-01,1.25,First legislated rate for federal jurisdiction.
Federal,1970-07-01,1.65,
Federal,1971-07-01,1.75,
Federal,1972-11-01,1.90,
Federal,1974-04-01,2.20,
Federal,1975-07-23,2.60,
Federal,1976-04-01,2.90,
Federal,1980-12-01,3.25,
Federal,1981-05-01,3.50,
Federal,1986-05-26,4.00,
Federal,2021-12-29,15.00,"An employee should be paid at least the federal minimum wage. If the minimum wage of the province or territory where the employee usually works is higher than the federal minimum wage, the employer is to pay the higher minimum wage."
Federal,2022-04-01,15.55,"An employee should be paid at least the federal minimum wage. If the minimum wage of the province or territory where the employee usually works is higher than the federal minimum wage, the employer is to pay the higher minimum wage."
Federal,2023-04-01,16.65,"An employee should be paid at least the federal minimum wage. If the minimum wage of the province or territory where the employee usually works is higher than the federal minimum wage, the employer is to pay the higher minimum wage."
